"lambda","H_o","a_oz","a_w","a_o"
350,0.92256,0.009,0.1,0.1
351,0.91488,0.012,0.1,0.1
352,0.91104,0.009,0.1,0.1
353,1.01376,0.006,0.1,0.1
354,1.07712,0.004,0.1,0.1
355,1.03488,0.002,0.1,0.1
356,1.00512,0.002,0.1,0.1
357,0.84384,0.001,0.1,0.1
358,0.72192,0.001,0.1,0.1
359,0.88224,0.001,0.1,0.1
360,1.01952,0,0.1,0.1
361,1.01184,0,0.1,0.1
362,1.00512,0,0.1,0.1
363,0.98304,0,0.1,0.1
364,0.95808,0,0.1,0.1
365,1.06368,0,0.1,0.1
366,1.20864,0,0.1,0.1
367,1.17216,0,0.1,0.1
368,1.10976,0,0.1,0.1
369,1.13664,0,0.1,0.1
370,1.14912,0,0.1,0.1
371,1.11552,0,0.1,0.1
372,1.09824,0,0.1,0.1
373,0.98592,0,0.1,0.1
374,0.91488,0,0.1,0.1
375,0.96384,0,0.1,0.1
376,0.96384,0,0.1,0.1
377,1.26432,0,0.1,0.1
378,1.26432,0,0.1,0.1
379,1.09536,0,0.1,0.1
380,1.09344,0,0.1,0.1
381,1.0704,0,0.1,0.1
382,1.03968,0,0.1,0.1
383,0.78816,0,0.1,0.1
384,0.82368,0,0.1,0.1
385,0.98784,0,0.1,0.1
386,0.98496,0,0.1,0.1
387,0.9552,0,0.1,0.1
388,0.9696,0,0.1,0.1
389,1.0992,0,0.1,0.1
420,1.65504,0,0.1,0.1
421,1.75008,0,0.1,0.1
422,1.6896,0,0.1,0.1
423,1.59072,0,0.1,0.1
424,1.62528,0,0.1,0.1
425,1.67808,0,0.1,0.1
426,1.62336,0,0.1,0.1
427,1.60608,0,0.1,0.1
428,1.58976,0.001,0.1,0.1
429,1.584,0.001,0.1,0.1
430,1.35072,0.001,0.1,0.1
431,1.29696,0.001,0.1,0.1
432,1.65792,0.001,0.1,0.1
433,1.7328,0.002,0.1,0.1
434,1.6224,0.002,0.1,0.1
435,1.69632,0.002,0.1,0.1
436,1.7616,0.002,0.1,0.1
437,1.7712,0.002,0.1,0.1
438,1.72032,0.002,0.1,0.1
439,1.60608,0.003,0.1,0.1
440,1.64256,0.003,0.1,0.1
441,1.72416,0.003,0.1,0.1
442,1.81632,0.003,0.1,0.1
443,1.87872,0.003,0.1,0.1
444,1.88256,0.003,0.1,0.1
445,1.88448,0.003,0.1,0.1
446,1.78176,0.003,0.1,0.1
447,1.79904,0.003,0.1,0.1
448,1.95456,0.003,0.1,0.1
449,1.97184,0.003,0.1,0.1
450,2.0496,0.003,0.1,0.1
451,2.02656,0.003,0.1,0.1
452,1.92384,0.004,0.1,0.1
453,1.92672,0.004,0.1,0.1
454,1.94304,0.005,0.1,0.1
455,1.9488,0.005,0.1,0.1
456,1.98336,0.006,0.1,0.1
457,1.9776,0.007,0.1,0.1
458,1.94688,0.007,0.1,0.1
459,1.94688,0.008,0.1,0.1
490,1.86048,0.018,0.1,0.1
491,1.824,0.019,0.1,0.1
492,1.83264,0.019,0.1,0.1
493,1.86336,0.02,0.1,0.1
494,1.87584,0.021,0.1,0.1
495,1.92288,0.022,0.1,0.1
496,1.92288,0.023,0.1,0.1
497,1.92288,0.024,0.1,0.1
498,1.89408,0.025,0.1,0.1
499,1.85568,0.026,0.1,0.1
500,1.79616,0.028,0.1,0.1
501,1.75872,0.03,0.1,0.1
502,1.8144,0.032,0.1,0.1
503,1.85088,0.034,0.1,0.1
504,1.848,0.036,0.1,0.1
505,1.84704,0.038,0.1,0.1
506,1.87776,0.039,0.1,0.1
507,1.89792,0.041,0.1,0.1
508,1.87488,0.041,0.1,0.1
509,1.86336,0.041,0.1,0.1
510,1.86144,0.04,0.1,0.1
511,1.86144,0.039,0.1,0.1
512,1.83648,0.038,0.1,0.1
513,1.824,0.037,0.1,0.1
514,1.79712,0.037,0.1,0.1
515,1.78368,0.038,0.1,0.1
516,1.67424,0.039,0.1,0.1
517,1.62048,0.041,0.1,0.1
518,1.656,0.042,0.1,0.1
519,1.67328,0.044,0.1,0.1
520,1.75488,0.045,0.1,0.1
521,1.78752,0.047,0.1,0.1
522,1.81536,0.049,0.1,0.1
523,1.83168,0.051,0.1,0.1
524,1.84512,0.052,0.1,0.1
525,1.79808,0.054,0.1,0.1
526,1.76928,0.056,0.1,0.1
527,1.76064,0.058,0.1,0.1
528,1.7568,0.059,0.1,0.1
529,1.84416,0.061,0.1,0.1
560,1.75008,0.096,0,0
561,1.75104,0.098,0,0
562,1.7856,0.1,0,0
563,1.79328,0.103,0,0
564,1.77408,0.105,0,0
565,1.77024,0.107,0,0
566,1.77024,0.109,0.006,0
567,1.77024,0.112,0.014,0
568,1.77792,0.113,0.022,0
569,1.77888,0.115,0.03,0
570,1.7328,0.116,0.034,0
571,1.72704,0.117,0.032,0
572,1.80864,0.118,0.027,0
573,1.81824,0.119,0.022,0
574,1.78656,0.119,0.016,0
575,1.78272,0.119,0.012,0
576,1.78272,0.119,0.01,0
577,1.78272,0.119,0.011,0
578,1.74912,0.119,0.01,0
579,1.75008,0.118,0.008,0
580,1.77792,0.117,0,0
581,1.77888,0.116,0,0
582,1.79136,0.115,0,0
583,1.79136,0.114,0,0
584,1.78656,0.112,0,0
585,1.78464,0.111,0.003,0
586,1.7376,0.11,0.123,0
587,1.73568,0.109,0.284,0
588,1.6944,0.109,0.454,0
589,1.6944,0.108,0.605,0
590,1.69056,0.108,0.7,0
591,1.69536,0.109,0.697,0
592,1.72512,0.11,0.636,0
593,1.72512,0.112,0.549,0
594,1.72224,0.113,0.454,0
595,1.72608,0.115,0.361,0
596,1.74528,0.117,0.278,0
597,1.7376,0.119,0.202,0
598,1.69248,0.121,0.132,0
599,1.69056,0.122,0.069,0
630,1.58976,0.09,0.005,0.011
631,1.5888,0.089,0.004,0.01
632,1.58784,0.088,0.003,0.008
633,1.58784,0.086,0.002,0.005
634,1.58784,0.085,0.001,0.002
635,1.59168,0.083,0,0
636,1.59456,0.082,0,0
637,1.59552,0.081,0.001,0
638,1.59648,0.079,0.001,0
639,1.57728,0.078,0.002,0
640,1.5648,0.077,0.001,0
641,1.55712,0.075,0,0
642,1.55136,0.074,0,0
643,1.55904,0.073,0,0
644,1.56384,0.071,0,0
645,1.55424,0.07,0.011,0
646,1.54752,0.068,0.038,0
647,1.54656,0.067,0.074,0
648,1.5456,0.066,0.112,0
649,1.51872,0.065,0.147,0
650,1.50144,0.064,0.173,0
651,1.5216,0.063,0.181,0
652,1.536,0.062,0.179,0
653,1.53504,0.061,0.171,0
654,1.53408,0.06,0.16,0
655,1.40352,0.059,0.142,0
656,1.31616,0.058,0.117,0
657,1.32192,0.057,0.087,0
658,1.3584,0.056,0.057,0
659,1.4016,0.056,0.029,0
660,1.4448,0.055,0.008,0
661,1.48608,0.054,0,0
662,1.51776,0.053,0,0
663,1.52064,0.052,0,0
664,1.51296,0.051,0,0
665,1.50336,0.051,0.001,0
666,1.49472,0.05,0.002,0
667,1.488,0.049,0.002,0
668,1.48128,0.048,0.001,0
669,1.47552,0.047,0.001,0
390,1.10592,0,0.1,0.1
391,1.21248,0,0.1,0.1
392,1.0704,0,0.1,0.1
393,0.70368,0,0.1,0.1
394,0.81792,0,0.1,0.1
395,1.2,0,0.1,0.1
396,1.02816,0,0.1,0.1
397,0.81888,0,0.1,0.1
398,1.2,0,0.1,0.1
399,1.512,0,0.1,0.1
400,1.60704,0,0.1,0.1
401,1.65216,0,0.1,0.1
402,1.72704,0,0.1,0.1
403,1.65024,0,0.1,0.1
404,1.57248,0,0.1,0.1
405,1.58496,0,0.1,0.1
406,1.59648,0,0.1,0.1
407,1.61376,0,0.1,0.1
408,1.63008,0,0.1,0.1
409,1.584,0,0.1,0.1
410,1.55616,0,0.1,0.1
411,1.6704,0,0.1,0.1
412,1.73952,0,0.1,0.1
413,1.6848,0,0.1,0.1
414,1.6704,0,0.1,0.1
415,1.70976,0,0.1,0.1
416,1.71936,0,0.1,0.1
417,1.6464,0,0.1,0.1
418,1.63296,0,0.1,0.1
419,1.59648,0,0.1,0.1
460,1.94784,0.008,0.1,0.1
461,1.95744,0.009,0.1,0.1
462,2.01696,0.009,0.1,0.1
463,2.00256,0.009,0.1,0.1
464,1.91232,0.009,0.1,0.1
465,1.90752,0.008,0.1,0.1
466,1.88064,0.008,0.1,0.1
