pi_number,P,I,data_type
PI002400,3.1587,592.382,light-saturated
PI002400,2.6512,385.8946,light-saturated
PI002400,3.0032,423.13,light-saturated
PI002400,2.9715,283.4971,light-saturated
PI002400,3.0136,283.4971,light-saturated
PI002400,2.9602,195.4861,light-saturated
PI002400,2.8028,192.5242,light-saturated
PI002400,2.9436,143.0179,light-saturated
PI002400,2.9098,139.6329,light-saturated
PI002400,2.6373,100.7049,light-saturated
PI002400,3.1579,90.9729,light-saturated
PI002400,3.1466,71.9321,light-saturated
PI002400,2.684,57.5457,light-saturated
PI002400,2.5331,49.0831,light-saturated
PI002400,2.8972,40.6205,light-saturated
PI002400,2.4437,36.8123,light-saturated
PI002400,2.5457,33.1311,light-saturated
PI002400,2.0098,25.8109,light-saturated
PI002400,2.0375,20.7334,light-saturated
PI002400,1.7999,18.8716,light-saturated
PI002400,1.7664,15.6558,light-saturated
PI002400,0.9513,10.2821,light-saturated
PI002400,0.8189,10.1551,light-saturated
PI002400,0.6223,7.6163,light-saturated
PI002400,0.5231,7.1086,light-saturated
PI002400,0.4239,5.6699,light-saturated
PI002400,0.4209,5.1199,light-saturated
PI002400,0.3319,4.1467,light-saturated
PI002400,0.2608,3.8082,light-saturated
PI002400,0.1717,2.4542,light-saturated
PI002400,0.1411,2.4965,light-saturated
PI002400,0.0884,1.6502,light-saturated
PI002400,0.1083,1.7348,light-saturated
PI002400,0.0855,1.1848,light-saturated
PI002400,0.0457,1.1848,light-saturated
PI002400,0.0466,0.8463,light-saturated
PI002400,0.027,0.9309,light-saturated
PI002400,2.5722,579.6881,light-saturated
PI002400,3.1074,528.9125,light-saturated
PI002400,2.7775,412.5518,light-saturated
PI002400,2.6949,444.2865,light-saturated
PI002400,2.3916,268.6876,light-saturated
PI002400,2.4914,340.6197,light-saturated
PI002400,3.1368,220.0276,light-saturated
PI002400,2.8116,253.878,light-saturated
PI002400,2.8405,162.9051,light-saturated
PI002400,2.5264,158.6738,light-saturated
PI002400,2.7134,100.7049,light-saturated
PI002400,2.4729,114.2451,light-saturated
PI002400,2.9051,71.509,light-saturated
PI002400,2.6864,85.4723,light-saturated
PI002400,2.4208,49.9293,light-saturated
PI002400,2.2538,58.8151,light-saturated
PI002400,2.1152,38.0817,light-saturated
PI002400,2.4154,42.7361,light-saturated
PI002400,1.7786,29.196,light-saturated
PI002400,1.9279,27.5035,light-saturated
PI002400,1.562,18.9985,light-saturated
PI002400,1.5006,19.8025,light-saturated
PI002376,2.0443,567.6725,light-saturated
PI002376,2.353,601.426,light-saturated
PI002376,2.0191,463.3435,light-saturated
PI002376,2.2718,472.549,light-saturated
PI002376,2.1801,337.535,light-saturated
PI002376,2.3345,303.7815,light-saturated
PI002376,2.1139,233.206,light-saturated
PI002376,2.3653,216.3293,light-saturated
PI002376,2.0222,151.8908,light-saturated
PI002376,1.9987,145.7538,light-saturated
PI002376,2.1195,95.1235,light-saturated
PI002376,2.1543,101.2605,light-saturated
PI002376,1.93,69.0412,light-saturated
PI002376,1.9517,65.6659,light-saturated
PI002376,1.4477,47.5618,light-saturated
PI002376,1.5262,48.4823,light-saturated
PI002376,1.1652,33.7535,light-saturated
PI002376,1.1335,34.6741,light-saturated
PI002376,0.9096,24.7014,light-saturated
PI002376,0.9666,24.2412,light-saturated
PI002376,0.6486,16.2631,light-saturated
PI002376,0.5866,16.8768,light-saturated
PI002376,0.4566,10.4329,light-saturated
PI002376,0.4707,10.4329,light-saturated
PI002376,0.3545,6.9041,light-saturated
PI002376,0.3634,6.9041,light-saturated
PI002376,0.333,4.9096,light-saturated
PI002376,0.3092,5.063,light-saturated
PI002376,0.2889,2.9151,light-saturated
PI002376,0.2904,3.3754,light-saturated
PI002376,0.2878,2.0559,light-saturated
PI002376,0.2811,2.2093,light-saturated
PI002376,0.2944,1.4729,light-saturated
PI002376,0.2597,1.5956,light-saturated
PI002376,0.2819,1.5956,light-saturated
PI002376,0.2715,1.6263,light-saturated
PI002376,1.9342,721.0975,light-saturated
PI002376,2.092,675.07,light-saturated
PI002376,2.01,607.563,light-saturated
PI002376,2.2026,552.33,light-saturated
PI002376,1.9916,392.768,light-saturated
PI002376,2.0291,414.2475,light-saturated
PI002376,2.0889,234.7403,light-saturated
